"","timestampMs","latitudeE7","longitudeE7","accuracy","Timestamp"
"1584",1536742263999,51.5010188,-0.1275746,10,2018-09-12 09:51:03
"1587",1536742294999,51.5005134,-0.1275338,10,2018-09-12 09:51:34
"1588",1536742310999,51.5003072,-0.1276226,10,2018-09-12 09:51:50
"1589",1536742325999,51.5001872,-0.1278299,10,2018-09-12 09:52:05
"1592",1536742356999,51.5000351,-0.1284446,10,2018-09-12 09:52:36
"1593",1536742386999,51.4997833,-0.1289667,10,2018-09-12 09:53:06
"1597",1536742417999,51.4996447,-0.129278,10,2018-09-12 09:53:37
"1598",1536742432999,51.4995759,-0.1294996,10,2018-09-12 09:53:52
"1608",1536742479999,51.4991222,-0.1297496,10,2018-09-12 09:54:39
"1609",1536742495999,51.4989063,-0.129797,10,2018-09-12 09:54:55
"1610",1536742510999,51.4987255,-0.129888,10,2018-09-12 09:55:10
"1618",1536742556999,51.4981115,-0.1299423,10,2018-09-12 09:55:56
"1619",1536742571999,51.4979384,-0.1298088,10,2018-09-12 09:56:11
"1620",1536742586999,51.4977622,-0.1295634,10,2018-09-12 09:56:26
"1623",1536742729236,51.4960522,-0.1293499,14,2018-09-12 09:58:49
"1661",1536743413116,51.49565,-0.1296237,14,2018-09-12 10:10:13
"1686",1536743661034,51.495652,-0.1296602,16,2018-09-12 10:14:21
"1687",1536743782175,51.4956567,-0.1296519,14,2018-09-12 10:16:22
"1702",1536744203098,51.4960356,-0.1300516,14,2018-09-12 10:23:23
"1722",1536744565115,51.4958584,-0.130066,16,2018-09-12 10:29:25
"1723",1536744685069,51.4958564,-0.1300702,14,2018-09-12 10:31:25
"1724",1536744809343,51.4958608,-0.1300753,14,2018-09-12 10:33:29
"1725",1536744929663,51.4958608,-0.1300753,14,2018-09-12 10:35:29
"1726",1536745078110,51.4958615,-0.1300758,14,2018-09-12 10:37:58
"1727",1536745227114,51.4958615,-0.1300758,14,2018-09-12 10:40:27
"1738",1536745254075,51.4958656,-0.1300751,16,2018-09-12 10:40:54
"1739",1536745560124,51.4958656,-0.1300751,16,2018-09-12 10:46:00
"1740",1536745864073,51.4958626,-0.1300726,16,2018-09-12 10:51:04
"1741",1536746068179,51.4958573,-0.130071,14,2018-09-12 10:54:28
"1745",1536746324139,51.4959929,-0.1300041,14,2018-09-12 10:58:44
"1768",1536746763132,51.4959937,-0.1300056,14,2018-09-12 11:06:03
"1769",1536746968312,51.4959937,-0.1300056,14,2018-09-12 11:09:28
"1770",1536747097116,51.4959937,-0.1300056,14,2018-09-12 11:11:37
"1771",1536747365104,51.4959983,-0.1299945,14,2018-09-12 11:16:05
"1772",1536747365363,51.4959983,-0.1299945,14,2018-09-12 11:16:05
"1773",1536747400268,51.496009,-0.1299932,14,2018-09-12 11:16:40
"1774",1536747963061,51.4959924,-0.1300056,14,2018-09-12 11:26:03
"1775",1536748635322,51.4959937,-0.1300047,14,2018-09-12 11:37:15
"1780",1536749561020,51.4957605,-0.1300162,14,2018-09-12 11:52:41
"1805",1536749857671,51.4955514,-0.130069,21,2018-09-12 11:57:37
"1806",1536749874353,51.4955534,-0.1300753,22,2018-09-12 11:57:54
"1853",1536750459108,51.4958601,-0.1300738,15,2018-09-12 12:07:39
"1854",1536750650113,51.4958618,-0.1300719,16,2018-09-12 12:10:50
"1855",1536750763328,51.4958624,-0.1300728,15,2018-09-12 12:12:43
"1856",1536750961116,51.4958624,-0.1300728,15,2018-09-12 12:16:01
"1857",1536750961392,51.4958624,-0.1300728,15,2018-09-12 12:16:01
"1858",1536751051933,51.4958684,-0.1300833,16,2018-09-12 12:17:31
"1859",1536751361134,51.4958684,-0.1300833,16,2018-09-12 12:22:41
"1860",1536751681738,51.4958677,-0.1300838,16,2018-09-12 12:28:01
"1861",1536752044256,51.4958613,-0.1300706,16,2018-09-12 12:34:04
"1862",1536752404485,51.4958613,-0.1300706,16,2018-09-12 12:40:04
"1886",1536752678940,51.4958546,-0.1300734,14,2018-09-12 12:44:38
"1887",1536752799892,51.495855,-0.130074,14,2018-09-12 12:46:39
"1888",1536752942109,51.495855,-0.130074,14,2018-09-12 12:49:02
"1889",1536753066106,51.4958551,-0.1300744,14,2018-09-12 12:51:06
"1890",1536753241143,51.4958551,-0.1300744,14,2018-09-12 12:54:01
"1891",1536753247234,51.4958551,-0.1300744,14,2018-09-12 12:54:07
"1892",1536753579760,51.4958596,-0.1300667,16,2018-09-12 12:59:39
"1893",1536753795175,51.4958652,-0.1300824,16,2018-09-12 13:03:15
"1894",1536753824790,51.4958651,-0.1300706,16,2018-09-12 13:03:44
"1895",1536753946813,51.4958581,-0.1300701,16,2018-09-12 13:05:46
"1896",1536753976207,51.4958581,-0.1300701,16,2018-09-12 13:06:16
"1897",1536754071165,51.4958581,-0.1300701,16,2018-09-12 13:07:51
"1922",1536754432288,51.4958563,-0.130072,15,2018-09-12 13:13:52
"1927",1536754684182,51.496001,-0.1297594,23,2018-09-12 13:18:04
"1928",1536754804284,51.4957513,-0.1297246,14,2018-09-12 13:20:04
"1963",1536755056441,51.4957483,-0.1297263,14,2018-09-12 13:24:16
"1975",1536755308514,51.4959263,-0.1296172,14,2018-09-12 13:28:28
"1983",1536755606191,51.4959265,-0.1296085,15,2018-09-12 13:33:26
"1984",1536755754134,51.4959265,-0.1296085,15,2018-09-12 13:35:54
"1995",1536755877815,51.4959263,-0.1296172,14,2018-09-12 13:37:57
"1996",1536756063960,51.4959262,-0.1296174,14,2018-09-12 13:41:03
"1997",1536756363477,51.495934,-0.1296303,15,2018-09-12 13:46:03
"1998",1536756664763,51.4959339,-0.1296303,15,2018-09-12 13:51:04
"1999",1536757052761,51.4959339,-0.1296303,15,2018-09-12 13:57:32
"2000",1536757440923,51.4959376,-0.1296219,14,2018-09-12 14:04:00
"2001",1536757836136,51.4959375,-0.1296132,14,2018-09-12 14:10:36
"2002",1536757911547,51.495926,-0.1296174,14,2018-09-12 14:11:51
"2017",1536758413260,51.4955777,-0.1300754,29,2018-09-12 14:20:13
"2045",1536758663079,51.4958612,-0.130075,15,2018-09-12 14:24:23
"2069",1536759053246,51.4958626,-0.1300755,14,2018-09-12 14:30:53
"2080",1536759354150,51.4958617,-0.1300764,14,2018-09-12 14:35:54
"2091",1536759474197,51.4958617,-0.1300764,14,2018-09-12 14:37:54
"2092",1536759640367,51.4958571,-0.1300728,14,2018-09-12 14:40:40
"2093",1536759700271,51.4958572,-0.1300743,14,2018-09-12 14:41:40
"2094",1536759879753,51.4958632,-0.13007,15,2018-09-12 14:44:39
"2095",1536759884537,51.4958572,-0.1300743,14,2018-09-12 14:44:44
"2157",1536760463820,51.4958573,-0.130072,15,2018-09-12 14:54:23
"2168",1536760762126,51.4958573,-0.130072,15,2018-09-12 14:59:22
